,Tree_code,size,Species,Year,DriestQPRCP,WettestMonthPRCP,DriestMonthPRCP,TotalPRCP,HottestMonthTMAX,HottestMonthTAVG,CoolestMonthTAVG,CoolestMonthTMIN,TotalAnnualTemperature,PRCP_Seasonality,HEAT_Seasonality,COOL_Seasonality,Ca,Ci
170,ma025,8,Melia_azedarach,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,192.7602587
171,ma026,27,Melia_azedarach,1952,87,376,0,1352,38.3,31.3,23.4,16.5,341.9,0.064349112,0.091547236,0.068441065,312.8,194.1362997
172,ma027,27,Melia_azedarach,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,225.9645046
173,ma028,8,Melia_azedarach,1989,18,263,0,842,39.4,32.3,23.9,16.9,340,0.021377672,0.095,0.070294118,352.8,226.0896344
174,ma030,8,Melia_azedarach,1959,171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417,0.091917129,0.072074701,315.8,197.4082253
175,ma031,27,Melia_azedarach,1985,27,270,0,1198,38.8,31.6,24,18.3,336.4,0.022537563,0.093935791,0.071343639,345.7,215.1170584
176,ma031,8,Melia_azedarach,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,216.0187549
177,ma033,8,Melia_azedarach,1988,79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.04849601,0.093563766,0.071215733,351.3,231.6839729
178,ma034,27,Melia_azedarach,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,214.3005578
179,ma034,8,Melia_azedarach,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,210.380527
180,ma035,8,Melia_azedarach,1989,18,263,0,842,39.4,32.3,23.9,16.9,340,0.021377672,0.095,0.070294118,352.8,224.589343
181,ma037,8,Melia_azedarach,2003,89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.080035971,0.093601896,0.072274882,375.7741667,248.202929
182,ma039,27,Melia_azedarach,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,204.5612224
183,ma039,8,Melia_azedarach,1964,33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.022510232,0.095435685,0.069353883,319.4,206.1132315
184,ma040,27,Melia_azedarach,1972,17,246,0,1101,38.1,32.7,24.5,16.6,346.6,0.015440509,0.094345066,0.070686671,327.3,206.6505852
185,ma040,8,Melia_azedarach,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,221.9072781
186,ma041,8,Melia_azedarach,1988,79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.04849601,0.093563766,0.071215733,351.3,220.3694103
187,ma042,8,Melia_azedarach,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,226.4725109
188,ma044,27,Melia_azedarach,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,204.2599255
189,ma044,8,Melia_azedarach,1972,17,246,0,1101,38.1,32.7,24.5,16.6,346.6,0.015440509,0.094345066,0.070686671,327.3,203.6448985
190,ma047,27,Melia_azedarach,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,229.3179448
191,ma047,8,Melia_azedarach,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,215.3454815
192,ma048,8,Melia_azedarach,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,208.5335638
193,ma049,8,Melia_azedarach,1988,79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.04849601,0.093563766,0.071215733,351.3,210.077358
194,ma050,8,Melia_azedarach,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,207.5096791
195,ma051,27,Melia_azedarach,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,225.8913225
196,ma052,27,Melia_azedarach,1989,18,263,0,842,39.4,32.3,23.9,16.9,340,0.021377672,0.095,0.070294118,352.8,243.9812787
197,ma054,8,Melia_azedarach,2003,89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.080035971,0.093601896,0.072274882,375.7741667,230.1897163
198,ma055,27,Melia_azedarach,2003,89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.080035971,0.093601896,0.072274882,375.7741667,215.4650518
199,ma055,8,Melia_azedarach,1990,74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.070678128,0.092759523,0.072404769,354,230.2822624
200,ma056,27,Melia_azedarach,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,221.4612134
201,ma056,8,Melia_azedarach,1968,76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.085682074,0.089841456,0.071931885,322.9,190.06874
202,ma057,8,Melia_azedarach,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,193.9180363
203,ma058,27,Melia_azedarach,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,228.0591403
204,ma058,8,Melia_azedarach,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,219.9814797
205,ma059,27,Melia_azedarach,1978,68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.056151941,0.094211459,0.073242764,335.3,222.4326807
206,ma059,8,Melia_azedarach,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,188.9522124
207,ma061,27,Melia_azedarach,2003,89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.080035971,0.093601896,0.072274882,375.7741667,205.8541137
208,ma061,8,Melia_azedarach,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,225.7955172
209,ma063,27,Melia_azedarach,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,214.5502121
210,ma063,8,Melia_azedarach,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,220.4706855
211,ma064,27,Melia_azedarach,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,187.0673562
212,ma064,8,Melia_azedarach,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,190.5213807
213,ma065,27,Melia_azedarach,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,218.5094863
214,ma065,8,Melia_azedarach,1966,91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.064174894,0.093124456,0.076008123,321.2,186.9456241
215,ma067,27,Melia_azedarach,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,207.1474672
216,ma067,8,Melia_azedarach,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,219.0230449
217,ma068,27,Melia_azedarach,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,210.630585
218,ma069,27,Melia_azedarach,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,204.8733385
219,ma070,8,Melia_azedarach,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,191.2469247
220,ma071,27,Melia_azedarach,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,220.192167
221,ma072,8,Melia_azedarach,1985,27,270,0,1198,38.8,31.6,24,18.3,336.4,0.022537563,0.093935791,0.071343639,345.7,224.2004617
222,ma077,27,Melia_azedarach,1990,74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.070678128,0.092759523,0.072404769,354,201.4836519
223,ma079,27,Melia_azedarach,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,199.8273228
224,ma079,8,Melia_azedarach,1959,171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417,0.091917129,0.072074701,315.8,204.9926853
225,ma081,27,Melia_azedarach,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,203.3828578
226,ma081,8,Melia_azedarach,1972,17,246,0,1101,38.1,32.7,24.5,16.6,346.6,0.015440509,0.094345066,0.070686671,327.3,222.6324536
227,ma082,8,Melia_azedarach,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,207.9937958
228,ma083,27,Melia_azedarach,1993,64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.071829405,0.091866589,0.071386776,357,205.919539
229,ma083,8,Melia_azedarach,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,214.9985018
230,ma084,8,Melia_azedarach,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,203.4155473
231,ma085,27,Melia_azedarach,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,205.829451
232,ma085,8,Melia_azedarach,1968,76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.085682074,0.089841456,0.071931885,322.9,211.5910334
233,ma086,8,Melia_azedarach,1985,27,270,0,1198,38.8,31.6,24,18.3,336.4,0.022537563,0.093935791,0.071343639,345.7,229.7985973
234,ma087,27,Melia_azedarach,1963,3,297,0,1236,39.9,33.4,21.7,13.9,340,0.002427184,0.098235294,0.063823529,318.8,193.7860463
235,ma088,8,Melia_azedarach,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,202.7279198
236,ma089,27,Melia_azedarach,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,200.5483087
237,ma090,8,Melia_azedarach,1988,79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.04849601,0.093563766,0.071215733,351.3,242.5346419
238,ma092,27,Melia_azedarach,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,206.0333968
239,ma092,8,Melia_azedarach,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,204.2185101
240,tc001,27,Toona_ciliata,1989,18,263,0,842,39.4,32.3,23.9,16.9,340,0.021377672,0.095,0.070294118,352.8,209.394511
241,tc001,8,Toona_ciliata,1971,178,411,3,996,37.6,31.4,24.6,16.4,335,0.178714859,0.093731343,0.073432836,326.2,221.8086527
242,tc002,27,Toona_ciliata,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,204.6219605
243,tc003,27,Toona_ciliata,1988,79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.04849601,0.093563766,0.071215733,351.3,205.6614301
244,tc004,8,Toona_ciliata,1951,46,319,0,1448,39,32.2,24.8,17.6,341.5,0.031767956,0.094289898,0.072620791,312.4,208.1432459
245,tc005,8,Toona_ciliata,1968,76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.085682074,0.089841456,0.071931885,322.9,211.166779
246,tc008,8,Toona_ciliata,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,220.9880467
247,tc010,27,Toona_ciliata,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,189.1356861
248,tc010,8,Toona_ciliata,1978,68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.056151941,0.094211459,0.073242764,335.3,240.7573941
249,tc011,8,Toona_ciliata,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,248.3784208
250,tc013,27,Toona_ciliata,1961,38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.035984848,0.095719382,0.071938169,317.5,197.6692957
251,tc014,8,Toona_ciliata,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,233.2756479
252,tc015,8,Toona_ciliata,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,259.3426455
253,tc016,8,Toona_ciliata,1959,171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417,0.091917129,0.072074701,315.8,205.8975592
254,tc021,8,Toona_ciliata,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,231.0871151
255,tc024,27,Toona_ciliata,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,210.4276144
256,tc025,8,Toona_ciliata,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,232.3698152
257,tc026,8,Toona_ciliata,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,213.3157474
258,tc027,27,Toona_ciliata,1989,18,263,0,842,39.4,32.3,23.9,16.9,340,0.021377672,0.095,0.070294118,352.8,203.7491692
259,tc027,8,Toona_ciliata,1968,76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.085682074,0.089841456,0.071931885,322.9,222.7413465
260,tc030,27,Toona_ciliata,1964,33,437,3,1466,38.3,32.2,23.4,17.7,337.4,0.022510232,0.095435685,0.069353883,319.4,183.1295244
261,tc031,8,Toona_ciliata,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,229.1617297
262,tc033,27,Toona_ciliata,1993,64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.071829405,0.091866589,0.071386776,357,192.8421115
263,tc034,27,Toona_ciliata,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,207.8452518
264,tc035,27,Toona_ciliata,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,182.2945847
265,tc037,27,Toona_ciliata,2006,72,258,0,1222,38.1,31.1,25,18.7,340,0.058919804,0.091470588,0.073529412,381.9041667,230.8372597
266,tc037,8,Toona_ciliata,1965,134,250,0,1109,37.6,31.5,23.5,15.9,339.4,0.120829576,0.092810843,0.069239835,319.9,225.5201378
267,tc041,27,Toona_ciliata,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,203.2767656
268,tc041,8,Toona_ciliata,1957,154,278,0,1134,38.8,32.3,24.5,17,339,0.135802469,0.095280236,0.072271386,315.1,224.491147
269,tc044,27,Toona_ciliata,1996,169,242,0,1303,37.4,30.4,23.9,18.4,332.9,0.129700691,0.091318714,0.071793331,362.5875,231.6812613
270,tc044,8,Toona_ciliata,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,241.2913386
271,tc045,8,Toona_ciliata,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,245.4521576
272,tc046,27,Toona_ciliata,2006,72,258,0,1222,38.1,31.1,25,18.7,340,0.058919804,0.091470588,0.073529412,381.9041667,241.4936717
273,tc047,27,Toona_ciliata,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,201.3379911
274,tc047,8,Toona_ciliata,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,207.1011241
275,tc048,8,Toona_ciliata,1957,154,278,0,1134,38.8,32.3,24.5,17,339,0.135802469,0.095280236,0.072271386,315.1,201.3609742
276,tc049,8,Toona_ciliata,1961,38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.035984848,0.095719382,0.071938169,317.5,213.5923435
277,tc050,27,Toona_ciliata,1974,13,270,0,1116,37,31.3,25.1,17.2,338.6,0.011648746,0.092439457,0.074128766,330.1,222.4991344
278,tc051,27,Toona_ciliata,1961,38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.035984848,0.095719382,0.071938169,317.5,187.3833191
279,tc053,27,Toona_ciliata,1968,76,201,0,887,36.5,30.6,24.5,16.8,340.6,0.085682074,0.089841456,0.071931885,322.9,182.8696354
280,tc054,27,Toona_ciliata,1988,79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.04849601,0.093563766,0.071215733,351.3,202.8842898
281,tc055,27,Toona_ciliata,2011,134,298,0,1548,35.2,29.4,24.3,18.6,329.7,0.086563307,0.089171975,0.073703367,389.7766667,233.0371459
282,tc058,8,Toona_ciliata,1959,171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417,0.091917129,0.072074701,315.8,215.0291592
283,tc059,27,Toona_ciliata,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,210.9857594
284,tc060,27,Toona_ciliata,1991,19,128,0,609,39,31.9,25.3,19.7,346.2,0.031198686,0.09214327,0.073079145,355.5,198.5862312
285,tc061,27,Toona_ciliata,1988,79,332,0,1629,37.7,31.4,23.9,17.9,335.6,0.04849601,0.093563766,0.071215733,351.3,184.3553599
286,tc062,27,Toona_ciliata,2006,72,258,0,1222,38.1,31.1,25,18.7,340,0.058919804,0.091470588,0.073529412,381.9041667,215.6305214
287,tc062,8,Toona_ciliata,1966,91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.064174894,0.093124456,0.076008123,321.2,197.060214
288,tc063,27,Toona_ciliata,1978,68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.056151941,0.094211459,0.073242764,335.3,203.1550817
289,tc063,8,Toona_ciliata,1950,19,293,0,1141,38.3,31.5,23.5,16.9,340.5,0.01665206,0.092511013,0.069016153,312,226.4393812
290,tc065,27,Toona_ciliata,2003,89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.080035971,0.093601896,0.072274882,375.7741667,225.4868784
291,tc066,8,Toona_ciliata,2011,134,298,0,1548,35.2,29.4,24.3,18.6,329.7,0.086563307,0.089171975,0.073703367,389.7766667,287.4394819
