,Tree_code,size,Species,Year,DriestQPRCP,WettestMonthPRCP,DriestMonthPRCP,TotalPRCP,HottestMonthTMAX,HottestMonthTAVG,CoolestMonthTAVG,CoolestMonthTMIN,TotalAnnualTemperature,PRCP_Seasonality,HEAT_Seasonality,COOL_Seasonality,Ca,Ci
39,ax060,8,Afzelia_xylocarpa,1966,91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.064174894,0.093124456,0.076008123,321.2,217.7597306
40,ax061,27,Afzelia_xylocarpa,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,199.0237074
41,ax061,8,Afzelia_xylocarpa,1966,91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.064174894,0.093124456,0.076008123,321.2,208.8310901
42,ax063,27,Afzelia_xylocarpa,1972,17,246,0,1101,38.1,32.7,24.5,16.6,346.6,0.015440509,0.094345066,0.070686671,327.3,182.2423449
43,ax063,8,Afzelia_xylocarpa,1958,89,291,0,901,38.5,32.1,23.5,15.7,340.8,0.098779134,0.094190141,0.068955399,315.7,185.8079602
44,ax069,8,Afzelia_xylocarpa,1957,154,278,0,1134,38.8,32.3,24.5,17,339,0.135802469,0.095280236,0.072271386,315.1,203.2483322
45,ax070,27,Afzelia_xylocarpa,1987,76,338,0,1123,38.6,31.5,22,16.2,340.1,0.067675868,0.092619818,0.064686857,348.8,194.7254223
46,ax070,8,Afzelia_xylocarpa,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,207.9810243
47,ax077,8,Afzelia_xylocarpa,1956,40,240,0,1349,37.1,30.5,23,14.5,326.7,0.029651594,0.093357821,0.070400979,314.6,193.3938714
48,ax079,27,Afzelia_xylocarpa,1993,64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.071829405,0.091866589,0.071386776,357,212.1049042
49,ax080,27,Afzelia_xylocarpa,1978,68,332,0,1211,38.7,31.9,24.8,18.6,338.6,0.056151941,0.094211459,0.073242764,335.3,190.9192764
50,ax080,8,Afzelia_xylocarpa,1963,3,297,0,1236,39.9,33.4,21.7,13.9,340,0.002427184,0.098235294,0.063823529,318.8,198.1743615
51,ax081,27,Afzelia_xylocarpa,2003,89,258,0,1112,38.5,31.6,24.4,18.1,337.6,0.080035971,0.093601896,0.072274882,375.7741667,211.0366509
52,ax082,27,Afzelia_xylocarpa,1993,64,322,0,891,37.6,31.4,24.4,18.1,341.8,0.071829405,0.091866589,0.071386776,357,178.0622358
53,ax082,8,Afzelia_xylocarpa,1974,13,270,0,1116,37,31.3,25.1,17.2,338.6,0.011648746,0.092439457,0.074128766,330.1,228.8059949
54,ax083,27,Afzelia_xylocarpa,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,187.2262391
55,ax083,8,Afzelia_xylocarpa,1966,91,335,18,1418,38.2,32.1,26.2,20.1,344.7,0.064174894,0.093124456,0.076008123,321.2,206.2443851
56,ax084,27,Afzelia_xylocarpa,1980,36,305,0,1222,39.8,33,25.2,17.4,341.6,0.029459902,0.096604215,0.073770492,338.5,192.0224443
57,ax084,8,Afzelia_xylocarpa,1967,6,346,0,1078,37.1,30.9,23.3,16.6,336.6,0.005565863,0.091800357,0.069221628,322,197.0622708
58,ax085,8,Afzelia_xylocarpa,1975,167,262,2,1229,38.3,32.6,23,16.2,338.5,0.135882832,0.096307238,0.067946824,331,219.5587088
59,ax086,8,Afzelia_xylocarpa,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,212.3635988
60,ax088,8,Afzelia_xylocarpa,1990,74,244,0,1047,38.8,31.9,24.9,18.4,343.9,0.070678128,0.092759523,0.072404769,354,218.9424764
61,ax089,8,Afzelia_xylocarpa,1957,154,278,0,1134,38.8,32.3,24.5,17,339,0.135802469,0.095280236,0.072271386,315.1,210.0809425
62,ax090,27,Afzelia_xylocarpa,1983,49,245,0,1204,40.1,32.8,23.4,17.3,337.8,0.040697674,0.097098875,0.069271758,342.6,174.929713
63,ax090,8,Afzelia_xylocarpa,1961,38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.035984848,0.095719382,0.071938169,317.5,191.3385263
64,ax092,8,Afzelia_xylocarpa,1979,3,279,0,677,38.8,31.6,24.8,17.5,344.6,0.004431315,0.091700522,0.071967499,336.7,223.2320011
65,ax094,27,Afzelia_xylocarpa,1985,27,270,0,1198,38.8,31.6,24,18.3,336.4,0.022537563,0.093935791,0.071343639,345.7,185.4992871
66,ax095,27,Afzelia_xylocarpa,1973,109,219,0,1085,39.6,33.6,23.7,15.9,344.4,0.100460829,0.097560976,0.068815331,329.5,183.2066007
67,ax095,8,Afzelia_xylocarpa,1955,88,284,0,1312,35.8,29.6,22.9,15.2,326.9,0.067073171,0.090547568,0.070052004,314.1,175.5400369
68,ax096,27,Afzelia_xylocarpa,1963,3,297,0,1236,39.9,33.4,21.7,13.9,340,0.002427184,0.098235294,0.063823529,318.8,179.9204434
69,ax097,27,Afzelia_xylocarpa,1984,26,233,0,887,38.3,31.3,24.1,17.7,335,0.029312289,0.093432836,0.071940299,344.3,178.408198
70,ax097,8,Afzelia_xylocarpa,1961,38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.035984848,0.095719382,0.071938169,317.5,172.9455493
71,ax099,27,Afzelia_xylocarpa,1986,2,275,0,898,38.3,31,23.6,16.9,335,0.002227171,0.092537313,0.070447761,347,182.6722442
72,ax099,8,Afzelia_xylocarpa,1959,171,301,0,1122,37.8,31.5,24.7,16.2,342.7,0.152406417,0.091917129,0.072074701,315.8,181.1770928
73,ax100,8,Afzelia_xylocarpa,1961,38,195,0,1056,38.6,32.2,24.2,16.6,336.4,0.035984848,0.095719382,0.071938169,317.5,195.731782
