,Grid,LAT,LON
0,0,10.34688527401706,-85.36860824891795
1,1,10.34688527401706,-85.36870027145925
2,2,10.34688527401706,-85.36879229400056
3,3,10.34688527401706,-85.36888431654185
4,4,10.34688527401706,-85.36897633908315
5,5,10.34688527401706,-85.36906836162446
6,6,10.34688527401706,-85.36916038416575
7,7,10.34688527401706,-85.36925240670705
8,8,10.34688527401706,-85.36934442924836
9,9,10.34688527401706,-85.36943645178965
10,10,10.34688527401706,-85.36952847433095
11,11,10.34688527401706,-85.36962049687224
12,12,10.34688527401706,-85.36971251941355
13,13,10.34688527401706,-85.36980454195485
14,14,10.34688527401706,-85.36989656449614
15,15,10.34688527401706,-85.36998858703745
16,16,10.34688527401706,-85.37008060957875
17,17,10.34688527401706,-85.37017263212005
18,18,10.34688527401706,-85.37026465466136
19,19,10.34688527401706,-85.37035667720265
20,20,10.34688527401706,-85.37044869974395
21,21,10.34688527401706,-85.37054072228526
22,22,10.34688527401706,-85.37063274482655
23,23,10.34688527401706,-85.37072476736785
24,24,10.34688527401706,-85.37081678990916
25,25,10.34688527401706,-85.37090881245045
26,26,10.34688527401706,-85.37100083499175
27,27,10.34688527401706,-85.37109285753306
28,28,10.34688527401706,-85.37118488007435
29,29,10.34688527401706,-85.37127690261565
30,30,10.34688527401706,-85.37136892515696
31,31,10.34688527401706,-85.37146094769825
32,32,10.34688527401706,-85.37155297023955
33,33,10.34688527401706,-85.37164499278084
34,34,10.34688527401706,-85.37173701532215
35,35,10.34688527401706,-85.37182903786345
36,36,10.34688527401706,-85.37192106040474
37,37,10.34688527401706,-85.37201308294605
38,38,10.34688527401706,-85.37210510548735
39,39,10.34688527401706,-85.37219712802865
40,40,10.34688527401706,-85.37228915056996
41,41,10.34688527401706,-85.37238117311125
42,42,10.34679325147576,-85.36860824891795
43,43,10.34679325147576,-85.36870027145925
44,44,10.34679325147576,-85.36879229400056
45,45,10.34679325147576,-85.36888431654185
46,46,10.34679325147576,-85.36897633908315
47,47,10.34679325147576,-85.36906836162446
48,48,10.34679325147576,-85.36916038416575
49,49,10.34679325147576,-85.36925240670705
50,50,10.34679325147576,-85.36934442924836
51,51,10.34679325147576,-85.36943645178965
52,52,10.34679325147576,-85.36952847433095
53,53,10.34679325147576,-85.36962049687224
54,54,10.34679325147576,-85.36971251941355
55,55,10.34679325147576,-85.36980454195485
56,56,10.34679325147576,-85.36989656449614
57,57,10.34679325147576,-85.36998858703745
58,58,10.34679325147576,-85.37008060957875
59,59,10.34679325147576,-85.37017263212005
60,60,10.34679325147576,-85.37026465466136
61,61,10.34679325147576,-85.37035667720265
62,62,10.34679325147576,-85.37044869974395
63,63,10.34679325147576,-85.37054072228526
64,64,10.34679325147576,-85.37063274482655
