Year,Month,PRCP,TAVG,TMIN,TMAX
2004,8,120,28.7,25.2,34.1
2004,9,302,28.1,24.3,33.4
2004,10,0,28.2,23.2,34.2
2004,11,NA,27.7,21.8,34.6
2004,12,0,24.2,17.4,32.7
2005,1,NA,26,20.1,33.3
2005,2,NA,29.8,24.7,36.8
2005,3,119,29.8,24.5,36.5
2005,4,40,31.2,26.7,37.2
2005,5,44,31,26.4,37.4
2005,6,156,29.8,25.9,35.2
2005,7,164,28.7,25,34
2005,8,269,28.8,NA,33.9
2005,9,295,28,24.5,33
2005,10,97,28.3,24.5,33.5
2005,11,36,27,23,32.5
2005,12,10,24.8,19.9,30.8
2006,1,0,25.5,18.7,33.7
2006,2,66,28.1,22.5,34.8
2006,3,6,30.7,25.5,37.3
2006,4,112,31.1,25.8,38.1
2006,5,75,29,25.1,34.5
2006,6,215,29.1,25.1,34.3
2006,7,105,28.9,25.3,33.6
2006,8,158,28.3,24.6,33.4
2006,9,258,28,24.3,33
2006,10,218,28.2,24.4,32.9
2006,11,9,28.1,23,34.3
2006,12,0,25,18.8,32.5
2007,1,NA,25.4,NA,NA
2007,2,NA,27.6,NA,NA
2007,3,6,30.9,25.8,37.8
2007,4,111,31,26.3,37.7
2007,5,257,28.7,NA,NA
2007,6,NA,NA,25.6,35
2007,7,188,28.7,25.1,34.2
2007,8,64,28.7,25.1,33.9
2007,9,217,28.2,24.8,33.4
2007,10,184,27.5,24,32.4
2007,11,17,25.4,20.6,31.2
2007,12,0,26.3,20.4,33.3
2008,1,19,25.2,19.1,33
2008,2,21,26.9,22,33
2008,3,19,29.6,24.2,36.6
2008,4,137,30.3,25.8,36.5
2008,5,124,28.7,25.1,33.9
2008,6,132,NA,25.1,34.2
2008,7,151,28.5,25.1,33.8
2008,8,217,28.2,24.6,33.4
2008,9,380,27.9,24.6,32.9
2008,10,242,28.1,24.8,32.9
2008,11,45,25.9,22,31
2008,12,NA,23.8,18.5,30
2009,1,NA,23.2,16.9,30.5
2009,2,0,28.4,22.6,35.4
2009,3,33,29.6,24.9,36
2009,4,58,30.5,25.5,36.6
2009,5,285,29.3,25.8,34.7
2009,6,117,29,25.7,34
2009,7,192,28.5,25.4,33.2
2009,8,224,29.1,25.5,34.6
2009,9,297,28.6,25.2,33.9
2009,10,208,28.2,24.9,32.7
2009,11,2,26.4,21.8,32.1
2009,12,0,25.5,20.1,32.2
2010,1,26,26.3,21.8,32
2010,2,0,29.8,24.8,36.1
2010,3,NA,30.7,25.1,37.4
2010,4,7,33.1,27.4,40.3
2010,5,69,32.5,27.9,39.5
2010,6,231,30.6,26.2,36.3
2010,7,159,29.4,25.8,34.3
2010,8,242,28.1,25.1,33.1
2010,9,235,28.1,25,33
2010,10,588,27.3,24.4,31.3
2010,11,0,26.6,22.2,31.8
2010,12,19,25.7,21.1,31.3
2011,1,0,24.3,18.6,30.7
2011,2,33,27.7,22.1,34.5
2011,3,101,26.5,22.8,31.2
2011,4,147,29.4,24.9,35.2
2011,5,298,28.9,24.9,34.4
2011,6,84,28.9,25.5,33.8
2011,7,210,28.3,24.8,33.4
2011,8,292,28.3,24.8,33
2011,9,211,28,24.8,32.7
2011,10,142,27.7,24.3,32
2011,11,25,27.2,22.6,32.4
2011,12,5,24.5,19.1,30.4
2012,1,23,26.8,22.2,32.5
2012,2,0,28.7,23.6,35.4
2012,3,19,30.5,25.4,37.1
2012,4,50,31.6,26.5,38.2
2012,5,164,30,25.9,36.1
2012,6,92,29.1,25.9,34.2
2012,7,119,28.6,25.2,34
2012,8,109,28.5,25.3,33.4
2012,9,318,28.1,25,32.9
2012,10,165,28.4,24.5,33.7
2012,11,57,28.3,24.4,33.8
2012,12,3,27.1,22.4,33.2
2013,1,8,25.9,20.3,33.1
2013,2,NA,28.8,23.3,35.6
2013,3,67,30.3,25.2,37
2013,4,63,31.8,26.3,38.8
2013,5,130,31.1,26.8,37.4
2013,6,136,29.3,25.7,34.5
2013,7,81,28.6,25.2,33.8
2013,8,NA,NA,NA,NA
2013,9,353,27.8,24.7,33.2
2013,10,89,27.9,24.3,32.8
2013,11,16,27.7,23.6,33.2
2013,12,0,22.7,16.8,29.6
2014,1,0,23.1,15.6,31.2
2014,2,0,28.2,22.3,35.4
2014,3,24,30.7,25.1,37.8
2014,4,21,31.1,26.2,37.8
2014,5,91,30.7,26.4,36.9
2014,6,161,29.9,26.3,35.5
2014,7,104,29.3,25.7,34.8
2014,8,221,28.5,25.1,34.1
2014,9,131,28.5,24.9,33.9
2014,10,118,27.9,24.2,33.4
2014,11,13,27.8,NA,NA
2014,12,NA,25.6,20.1,32.2
2015,1,7,23.9,17.8,31.5
2015,2,6,27.9,21.8,35.8
2015,3,59,30.6,25.7,37.4
2015,4,30,31.3,25.6,38.4
2015,5,36,32.5,27.3,39.7
2015,6,35,31.5,26.5,38.3
2015,7,77,30.5,26.2,37.1
2015,8,103,29.2,25.3,35.6
2015,9,258,28.7,25,34.3
2015,10,145,28,24.3,33.6
2015,11,31,28.6,24.1,34.4
2015,12,18,26.8,21.8,33
2016,1,7,25.8,20.1,32.9
2016,2,0,27.4,20.9,34.9
2016,3,0,31.5,25.4,38.9
2016,4,2,34.2,28,41.9
2016,5,149,32.6,27.5,39.5
2016,6,NA,NA,NA,NA
2016,7,NA,NA,NA,NA
2016,8,NA,NA,NA,NA
2016,9,NA,NA,NA,NA
2016,10,321,28.4,24.9,33.4
2016,11,321,NA,NA,NA
2016,12,NA,25.8,21.1,32
2017,1,39,26.2,21.7,31.9
2017,2,9,27.2,20.6,34.7
2017,3,26,30.6,25.2,37.2
2017,4,31,31.7,26.4,38.1
2017,5,383,29.8,26,35.2
2017,6,263,29.3,25.6,34.6
2017,7,NA,NA,NA,NA
2017,8,202,28.8,25.3,33.6
2017,9,187,29.1,25.4,34.1
2017,10,199,28.2,24.5,33
2017,11,50,27.6,23.5,32.4
2017,12,42,25.1,19.9,30.7
2018,1,5,26.3,21.3,32.5
2018,2,33,27,21.5,33.5
2018,3,9,30.1,25.1,36.1
2018,4,NA,NA,NA,NA
2018,5,NA,NA,NA,NA
2018,6,NA,NA,NA,NA
2018,7,NA,NA,NA,NA
2018,8,NA,NA,NA,NA
2018,9,NA,NA,NA,NA
2018,10,NA,NA,NA,NA
2018,11,NA,NA,NA,NA
2018,12,NA,NA,NA,NA
